date,price,audusd,price_aud
2025-11-12,4204.39990234375,0.6529499292373657,6439.084704786501
2025-11-13,4186.89990234375,0.6536400318145752,6405.513277270464
2025-11-14,4087.60009765625,0.6529000401496887,6260.682870717999
2025-11-17,4068.300048828125,0.6533001661300659,6227.306006865709
2025-11-18,4061.300048828125,0.6492701172828674,6255.177838500057
2025-11-19,4077.699951171875,0.6509018540382385,6264.69248147559
2025-11-20,4056.5,0.649000883102417,6250.376703046574
2025-11-21,4076.699951171875,0.6449499130249023,6320.955889507141
2025-11-24,4091.89990234375,0.6462398767471313,6331.859189718308
2025-11-25,4139.2001953125,0.6465799808502197,6401.68319141224
2025-11-26,4165.2001953125,0.6470301151275635,6437.4131866973785
2025-11-28,4218.2998046875,0.653579831123352,6454.146232507239
2025-12-01,4239.2998046875,0.6551298499107361,6470.93061820511
2025-12-02,4186.60009765625,0.6544001698493958,6397.614625649865
2025-12-03,4199.2998046875,0.6573700904846191,6388.029917198907
2025-12-04,4211.7998046875,0.6605019569396973,6376.665141466084
2025-12-05,4212.89990234375,0.660641610622406,6376.982367754095
2025-12-08,4187.2001953125,0.6635400652885437,6310.395429538494
2025-12-09,4206.7001953125,0.6627300977706909,6347.531535783737
2025-12-10,4196.39990234375,0.6640987992286682,6318.939150647086
2025-12-11,4285.5,0.6674498319625854,6420.707287315982
2025-12-12,4300.10009765625,0.6665000319480896,6451.7627779966315
2025-12-15,4306.7001953125,0.6647300720214844,6478.870712461622
2025-12-16,4304.5,0.6641799807548523,6480.924033735343
2025-12-17,4347.5,0.6634001135826111,6553.360349189358
2025-12-18,4339.5,0.6601501107215881,6573.504918838288
2025-12-19,4361.39990234375,0.6613800525665283,6594.392869000288
2025-12-22,4444.60009765625,0.6610198020935059,6723.853178951408
2025-12-23,4482.7998046875,0.6658400893211365,6732.547163475814
2025-12-24,4480.60009765625,0.6701900959014893,6685.565968606689
2025-12-26,4529.10009765625,0.6705604195594788,6754.201359858996
2025-12-29,4325.10009765625,0.6714099645614624,6441.816961238025
2025-12-30,4370.10009765625,0.6695501804351807,6526.91945331993
2025-12-31,4325.60009765625,0.6697999835014343,6458.0474831364145
2026-01-02,4314.39990234375,0.6678299903869629,6460.326676619963
2026-01-05,4436.89990234375,0.6683902144432068,6638.188002258304
2026-01-06,4482.2001953125,0.6713401079177856,6676.496968450757
2026-01-07,4449.2998046875,0.6737000942230225,6604.273686229586
2026-01-08,4449.7001953125,0.672210156917572,6619.50752978303
2026-01-09,4490.2998046875,0.6701065301895142,6700.8745660448785
2026-01-12,4604.2998046875,0.6685801148414612,6886.683738386845
2026-01-13,4589.2001953125,0.6707807779312134,6841.579762416968
2026-01-14,4626.2998046875,0.6683598756790161,6921.869449430128
2026-01-15,4616.2998046875,0.6682798862457275,6907.734169018637
2026-01-16,4588.39990234375,0.6704210042953491,6844.057499610146
2026-01-20,4759.60009765625,0.6709878444671631,7093.422238425031
2026-01-21,4831.7998046875,0.6731699109077454,7177.682374680105
2026-01-22,4908.7998046875,0.6754794120788574,7267.134596419694
2026-01-23,4976.2001953125,0.6840506792068481,7274.607491191104
2026-01-26,5079.7001953125,0.691399872303009,7346.978787242672
2026-01-27,5079.89990234375,0.691472053527832,7346.500666840445
2026-01-28,5301.60009765625,0.6995800137519836,7578.261233082886
2026-01-29,5318.39990234375,0.7039799094200134,7554.760911750181
2026-01-30,4713.89990234375,0.7047300934791565,6688.943676396545
2026-02-02,4622.5,0.6946277618408203,6654.643326880569
2026-02-03,4903.7001953125,0.6955500841140747,7050.103662281006
2026-02-04,4920.39990234375,0.7022520899772644,7006.600581997626
2026-02-05,4861.39990234375,0.699440062046051,6950.4167206591555
2026-02-06,4951.2001953125,0.6916399002075195,7158.638756709875
2026-02-09,5050.89990234375,0.7033699154853821,7181.000766656647
2026-02-10,5003.7998046875,0.7083597779273987,7063.924238228487
2026-02-11,5071.60009765625,0.7074797749519348,7168.544285242369
2026-02-12,4923.7001953125,0.7125298380851746,6910.167030400107
